npbysem,hour
0,4
0,6
0,8
0,0
0,0
0,4
0,4
0,4
0,4
0,4
0,6
0,6
0,6
0,6
0,6
0,6
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,10
0,10
0,0
0,0
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,4
0,4
0,4
0,4
0,4
0,4
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,10
0,10
0,6
0,4
0,6
0,6
0,8
0,2
0,0
0,0
0,2
0,2
0,2
0,2
0,2
0,2
0,4
0,4
0,4
0,4
0,4
0,4
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,10
0,10
0,0
0,0
0,2
0,2
0,2
0,2
0,2
0,2
0,2
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,6
0,8
0,8
0,8
0,8
0,8
0,8
0,10
0,10
0,2
0,6
0,2
0,10
0,8
0,10
0,23
0,23
0,2
0,4
0,4
0,4
0,5
0,5
0,10
0,10
0,7
0,4
0,1
0,7
0,2
0,8
0,2
0,2
0,8
0,7
0,2
0,1
0,5
0,4
0,5
0,8
0,23
0,23
0,23
0,4
0,4
0,5
0,5
0,5
0,8
0,8
0,23
0,23
0,4
0,5
0,7
0,7
0,8
0,8
0,1
0,2
0,2
0,5
0,5
0,7
0,7
0,23
0,1
0,8
0,2
0,4
0,1
0,4
0,4
0,1
0,5
0,7
0,8
0,2
0,1
0,7
0,2
0,4
0,2
0,1
0,2
0,7
0,1
0,2
0,7
0,8
0,4
0,1
0,5
1,23
1,1
1,2
1,2
1,2
1,2
1,4
1,4
1,5
1,8
1,8
1,8
1,10
1,10
1,7
1,8
1,1
1,2
1,4
1,23
1,4
1,5
1,4
1,5
1,5
1,7
1,23
1,23
1,1
1,2
1,2
1,5
1,7
1,8
1,8
1,23
1,1
1,2
1,2
1,4
1,4
1,7
1,8
1,23
1,2
1,4
1,7
1,4
1,5
1,1
1,2
1,5
1,23
1,2
1,7
1,1
1,5
1,1
1,4
1,5
1,7
1,4
1,7
1,7
1,8
1,4
1,5
1,7
1,4
1,5
1,1
1,2
1,4
1,1
1,23
1,1
1,8
1,8
1,2
1,2
1,11
1,8
1,6
1,4
1,10
1,8
1,0
1,0
1,4
1,4
1,4
1,4
1,4
1,6
1,6
1,6
1,6
1,6
1,6
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,10
1,10
1,0
1,0
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,4
1,4
1,4
1,4
1,4
1,4
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,10
1,10
1,2
1,12
1,12
1,2
1,6
1,6
1,8
1,4
1,0
1,0
1,2
1,2
1,2
1,2
1,2
1,2
1,4
1,4
1,4
1,4
1,4
1,4
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,8
1,8
1,8
1,8
1,8
1,8
1,8
