nyc,bj,la,london,moscow,vancouver,mexico,sao_paolo,athens,baghdad,bangkok,syndey
15:40,04:40,12:40,20:40,23:40,12:40,14:40,17:40,22:40,23:40,03:40,07:40
15:40,04:40,12:40,20:40,23:40,12:40,14:40,17:40,22:40,23:40,03:40,07:40
12:00,01:00,09:00,17:00,20:00,09:00,11:00,14:00,19:00,20:00,00:00,04:00
13:00,02:00,10:00,18:00,21:00,10:00,12:00,15:00,20:00,21:00,01:00,05:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
12:55,01:55,09:55,17:55,20:55,09:55,11:55,14:55,19:55,20:55,00:55,04:55
20:50,09:50,17:50,01:50,04:50,17:50,19:50,22:50,03:50,04:50,08:50,12:50
21:50,10:50,18:50,02:50,05:50,18:50,20:50,23:50,04:50,05:50,09:50,13:50
12:25,01:25,09:25,17:25,20:25,09:25,11:25,14:25,19:25,20:25,00:25,04:25
16:50,05:50,13:50,21:50,00:50,13:50,15:50,18:50,23:50,00:50,04:50,08:50
21:50,10:50,18:50,02:50,05:50,18:50,20:50,23:50,04:50,05:50,09:50,13:50
16:50,05:50,13:50,21:50,00:50,13:50,15:50,18:50,23:50,00:50,04:50,08:50
21:50,10:50,18:50,02:50,05:50,18:50,20:50,23:50,04:50,05:50,09:50,13:50
12:25,01:25,09:25,17:25,20:25,09:25,11:25,14:25,19:25,20:25,00:25,04:25
16:50,05:50,13:50,21:50,00:50,13:50,15:50,18:50,23:50,00:50,04:50,08:50
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
17:50,06:50,14:50,22:50,01:50,14:50,16:50,19:50,00:50,01:50,05:50,09:50
17:50,06:50,14:50,22:50,01:50,14:50,16:50,19:50,00:50,01:50,05:50,09:50
21:50,10:50,18:50,02:50,05:50,18:50,20:50,23:50,04:50,05:50,09:50,13:50
17:00,06:00,14:00,22:00,01:00,14:00,16:00,19:00,00:00,01:00,05:00,09:00
15:50,04:50,12:50,20:50,23:50,12:50,14:50,17:50,22:50,23:50,03:50,07:50
15:50,04:50,12:50,20:50,23:50,12:50,14:50,17:50,22:50,23:50,03:50,07:50
17:00,06:00,14:00,22:00,01:00,14:00,16:00,19:00,00:00,01:00,05:00,09:00
15:50,04:50,12:50,20:50,23:50,12:50,14:50,17:50,22:50,23:50,03:50,07:50
15:50,04:50,12:50,20:50,23:50,12:50,14:50,17:50,22:50,23:50,03:50,07:50
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
15:00,04:00,12:00,20:00,23:00,12:00,14:00,17:00,22:00,23:00,03:00,07:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
18:00,07:00,15:00,23:00,02:00,15:00,17:00,20:00,01:00,02:00,06:00,10:00
